comments/0/likesCount,Fecha ,Hora,FullDate,likesCount,text,Negative
,30/10/2023,21:05:35,2023-10-30T21:05:35.000Z,18,Primero lo de las membresías y luego bloquedo comentarios. Iba a mantener mi cuenta pero al ver que deshabilitaron comentarios de sus redes me dio mucha desconfianza y prefiero cerrar mi cuenta.,Negative
0,25/03/2024,18:02:44,2024-03-25T18:02:44.000Z,0,"Por favor tengan mucho cuidado, me intentaron robar, mientras me hacían la supuesta validación, les brinde todos mis datos por queré un préstamo, mientras estaban en línea conmigo vi como ""alguien"" entraba a mi app de bbva y creaban destinatarios yo no novia ni un dedo, me dijeron que no tocara nada y mientras tanto yo veía como manipulaban mi equipo celular, hasta que dije esto esta muy raro, se los comente y lo negaron en todo momento, pero el bbva me enviaba los correos con todos los destinatarios que daban de alta con la intención de robarme. 
No es justo como roban a gente decente que se gana el dinero con su trabajo honrado, por favor no caigan como yo.",Positive
,08/02/2024,23:57:12,2024-02-08T23:57:12.000Z,1,"I want to express my gratitude to Mrs. Charlotte for helping me out of a difficult situation. After falling victim to an online investment scam and losing more than $500 her words of encouragement provided the hope and encouragement that guided me through my recovery process. I only invested $400 into my trading account and received a remarkable profit of $6,300 within three trading days. Thanks to her, I have not only recovered my lost funds but also earned more than expected. If you're interested in crypto/Forex trading, contact Charlotte for assistance via the details below.

Facebook:https://www.facebook.com/haydencharlotte014

Email:haydencharlotte541@gmail.com
WhatsApp: +1 (484) 410-1835",Negative
,07/11/2023,03:02:13,2023-11-07T03:02:13.000Z,4,Pésima experiencia con su atención a clientes y con las nuevas políticas que implementaron dejó de ser atractivo para los usuarios.,Negative
0,30/10/2023,22:54:48,2023-10-30T22:54:48.000Z,5,"Basura de servicio, ni se metan a este banco, el servicio al cliente puros incompetentes peor que los del IMSS.",Negativo
,11/08/2023,04:15:01,2023-08-11T04:15:01.000Z,10,"No arriesgues tu dinero, nula atención al cliente. Fallas recurrentes e incertidumbre en las operaciones.",Negative
,28/10/2023,19:35:14,2023-10-28T19:35:14.000Z,1,Una verdadera burla lo que le hacen a sus clientes. De ser una opción atractiva por ser una fintech mexicana se convirtió en una opción basura al meter la tonta idea de las membresías. A cancelar.,Positive
,04/02/2024,22:14:34,2024-02-04T22:14:34.000Z,2,"En lo personal no me afecta en nada las membresias, ya que se mantiene lo de las 6 compras de $100 para tener los beneficios de las tasas de inversion y ser HeyPro, ya tengo algunos años con la cuenta y no he tenido algun problema ademas es mi cuenta principal, he tenido cuentas en otros bancos con sus respectivas aclaraciones y muchas fallas.",Negative
,26/10/2023,16:38:31,2023-10-26T16:38:31.000Z,16,"se han convertido en un referente de una pésima institución, que no escucha a sus clientes y ahora han bloqueado todos los comentarios en sus redes sociales, no aceptan que fue un gran error su idea de cobrar unas membresías y quitar beneficios, creyeron que iban a ganar mucho con su estrategia de membresía y están perdiendo clientes,en verdad salgan de este banco que no tiene interés en escuchar a sus clientes y prefieren bloquear y borrar  los comentarios en sus plataformas demostrando su cobardía y poca inteligencia para resolver problemas.",Negative
,05/11/2023,01:51:00,2023-11-05T01:51:00.000Z,4,"Muy mal servicio al cliente, y ahora con las membresías adiós para siempre",Negative
,16/03/2024,18:45:43,2024-03-16T18:45:43.000Z,5,"El día 29 de agosto de 2023 tuve un glitch con mi banca, mi problema era que había hecho el pago de un servicio por la app y me habia marcado ""error"" cuando lo pagué, luego me apareció el cargo, pero cuando llamaba al Gas Natural me aparecía el adeudo aún. Tras estos eventos llamé a Hey como 15 minutos a las 6:00 y el ejecutivo Victor me atendió, intentó resolver, levantó el reporte y todo terminó bien con el pago de mi servicio. Lamento estar publicando esto tanto tiempo después pero no podía quedarme sin agradecer su atención, puesto que en estos tiempos de tanta tecnología, el buen servicio al cliente es muy necesario. Debido a que el sistema estaba lento, la llamada duró al rededor de 1 hora; sin embargo Victor nunca perdió la paciencia y se mantenía en la línea cominicando el estatus del reporte y atento a cualquier duda, agradezco su esfuerzo y, si sigue trabajando ahí, ojalá éste sea reconocido.

Hasta ahora es el único detalle que he tenido con esta banca y en verdad me han resuelto mucho desde Twitter o por teléfono como en esta ocasión que narro. También me agradan los beneficios de ser Hey Pro y la facilidad con la que se puede invertir.",Negativo
,27/10/2023,03:01:08,2023-10-27T03:01:08.000Z,9,"Habías muchas más maneras de seguir dando beneficios pero decidieron cobrar por dar beneficios que antes eran gratis y además ya no conviene porque no recuperas el precio de la membresía, hay muchas más opciones que si convienen",Negative
1,21/02/2024,22:54:19,2024-02-21T22:54:19.000Z,1,"No me pagan las ligas de cobro, alegan que “el departamento de retenciones está revisándolo” 

Muy buena iniciativa pero mala ejecución. 

Y ahora quieren todos los datos de el cliente para poder liberar mi dinero.

Si utilizan ligas de cobro DEJEN DE USARLO.",Spam
,23/11/2023,00:28:12,2023-11-23T00:28:12.000Z,13,"No sé a quien se le ocurrió la estupidez de quitar todas las recompensas y dedicarse a querer ser una tienda departamental más en lugar de enfocarse a ser un buen banco,sería para cambiarlo de puesto o despedirlo.
Muy mala decisión de negocios.",Negative
,07/11/2023,20:52:14,2023-11-07T20:52:14.000Z,3,"Su tarjeta de crédito Hey Negocios tiene un error de sistema en donde se hacen cobros por error, el problema es que no lo han podido resolver y en el Call center siempre dan información diferente",Negativo
,27/10/2023,19:02:23,2023-10-27T19:02:23.000Z,10,"Todo falla, sin beneficios competitivos, no confiable",Negative
,09/11/2023,15:40:47,2023-11-09T15:40:47.000Z,7,"Era un buen banco, con atractivas características pero todo acabó. A retirar el capital a otra parte.",Negativo
,01/11/2023,23:09:29,2023-11-01T23:09:29.000Z,9,"¿Membresías? ¿En serio? ¿No se suponía que era un banco ""diferente"" a los tradicionales? A ello agréguenle que su servicio al cliente es pésimo y nefasto. Yo creí que por tener una cantidad considerable me iban a tratar mejor, pero nunca fue así. 

Además se nota la poca importancia que le dan a la retroalimentación de sus clientes, bloqueando e ignorando los comentarios. 

Afortunadamente existen múltiples alternativas para gestionar tu dinero.",Negative
0,27/10/2023,01:28:49,2023-10-27T01:28:49.000Z,11,"Era buena Fintech hasta que pusieron sus ""membresías"". Ya no lo recomiendo",Negative
,25/10/2023,19:33:35,2023-10-25T19:33:35.000Z,17,"estaba muy a gusto con su tarjeta de crédito por los beneficios que tenía tanto con el cashback como por el rendimiento, además después de 8 meses nunca me ofrecieron la tarjeta tradicional, pero ahora que quitaron todas esas ventajas ya no vale nada la pena, creo que la daré de baja y buscaré un banco mejor",Negative
,16/05/2023,07:56:26,2023-05-16T07:56:26.000Z,7,"pésimo servicio, no vale la pena",negativo
0,26/10/2023,20:13:28,2023-10-26T20:13:28.000Z,10,"Era muy buen banco, hasta tenía cuenta empresarial aquí, pero por sus cangrejadas de querer cobrar una comisión disfrazada de membresía me largo a BBVA.",Negative
,17/11/2023,20:15:42,2023-11-17T20:15:42.000Z,0,Su sistema de membresías es la idea más estúpida que he escuchado. Antes eran chéveres pero cada vez van más y más en declive,Negative
1,27/10/2023,14:23:04,2023-10-27T14:23:04.000Z,10,"Se volvieron malos. La atención al cliente es nula, no pésima, nula. Malas decisiones. Ahora cobran anualidades caras por dar los beneficios que ya contaban. Toca pagar y cerrar.",Negative
,31/10/2023,15:00:59,2023-10-31T15:00:59.000Z,4,Empezaron genial pero ya no valen la pena,Negative
,08/01/2024,22:02:41,2024-01-08T22:02:41.000Z,5,ya les dijeron que sus membresías es una muy mala idea y lo siguen haciendo. fueron superados por mucho por NU,Negative
,08/11/2023,01:43:19,2023-11-08T01:43:19.000Z,8,"Desde que implementaron las nefastas membresías, dejó de ser atractivo para tener fondos de inversiones o cualquier tipo de cuenta, hoy en día hay muchas opciones que ofrecen más sin pagos mensuales",Negative
,28/10/2023,00:00:10,2023-10-28T00:00:10.000Z,6,"todo lo que lo hacia ver como una buena opción, lo tiraron a la basura, voy a cerrar mi cuenta y no los vuelvo a recomendar.",Negative
,26/10/2023,14:00:27,2023-10-26T14:00:27.000Z,11,"Atención al cliente deficiente, una aplicación lenta, reportan mal la información en buro y ahora sus membresías le han quitado el atractivo que tenían.",Negative
,26/10/2023,23:21:27,2023-10-26T23:21:27.000Z,11,Perdió todos los beneficios que lo hacían una opción atractiva frente a los bancos tradicionales. Hay muchas y mejores opciones que no te cobran membresías.,Negative
0,26/10/2023,17:20:52,2023-10-26T17:20:52.000Z,9,"en un principio era un excelente prospecto de banco digital. Con los recientes cambios a ""membresía"" para tener mayor tasa de interés, más los constantes casos de fraude ha caído como banco. Muchas malas decisiones han tomado al parecer por parte de arriba, ojalá y escuché a sus clientes que al parecer se les van",Negative
,31/10/2023,03:39:10,2023-10-31T03:39:10.000Z,5,"Y la queso  
Pésimo servicio",Negative
1,26/10/2023,19:06:55,2023-10-26T19:06:55.000Z,8,"Lamentable la decisión que acaban de tomar, de ser un banco top cayó al peor de todos en cuanto a beneficios, incluso, las recompensas generadas el mes pasado ya tampoco me las otorgaron, no se si ya es día de los inocentes o porque tanta broma de su parte . Definitivamente hora de cambiar nómina y banco en general.",Negative
,02/11/2023,14:55:18,2023-11-02T14:55:18.000Z,2,"Desde que pusieron las membresías se han venido bien abajo, de por sí ya lo estaban y se fueron a peor, malísima decisión",Negative
0,30/05/2023,01:53:21,2023-05-30T01:53:21.000Z,5,"Me tienen desde hace una semana con mi cuenta de debito BLOQUEADA sin razón alguna, no me dejan disponer de mi dinero y no me dan tiempo de respuesta, me encantaba su banco pero estas son jaladas",Negative
,29/04/2023,07:31:53,2023-04-29T07:31:53.000Z,6,pésima atención a clientes,Negative
0,26/10/2023,16:42:59,2023-10-26T16:42:59.000Z,12,"Se han vuelto el banco más mediocre con sus membresías, es hora de cancelar todos mis productos contratados con ustedes",Negative
,02/11/2023,21:03:51,2023-11-02T21:03:51.000Z,7,Qué bueno que saqué todo mi dinero de esta basura de banco  no tengo tanta queja con las membresías pero sí el detonante fue la censura en redes sociales y borrar los malos comentarios,Negative
,01/11/2023,21:41:28,2023-11-01T21:41:28.000Z,7,"Fue el mejor banco de México, pero contrataron a alguien con ideas ""innovadoras"" como membresías, cobrar ISR en las recompensas, tienda de merchandising, etc y se terminó autodestruyendo",Negative
0,19/01/2024,16:37:34,2024-01-19T16:37:34.000Z,4,"Te hacen cargos y te retienen el dinero y no te dan respuesta, es literalmente un robo en toda la extensión de la palabra, no tengan dinero en esa cuenta si no quieren ser robados por el mismo banco",Negative
,18/05/2023,21:45:21,2023-05-18T21:45:21.000Z,6,"Muy mala empresa , te vacían la cuenta y luego te la cancelan para que no puedas hacer nada, ellos mismos son los que te roban , mucho cuidado no entren a esta empresa de ratas",Negative
,24/03/2023,21:52:28,2023-03-24T21:52:28.000Z,1,"Ni siquiera me llegó mi tarjeta, no me deja reportar un problema e hice el registro completo de mi información para absolutamente nada. 0 Atención al cliente y pura robadera de información personal. MEJOR ABRAN ALBO",Negativo
1,26/10/2023,23:19:09,2023-10-26T23:19:09.000Z,14,"pesimo, borran comentarios no dejan dar nuestras opiniones, cobran por algo que antes era gratis, no recomiendo ya para nada esté banco, Banregio sigue igual con su 2% en virtual y ustedes...",Negative
,30/10/2023,00:04:38,2023-10-30T00:04:38.000Z,7,"Ahora para tener los beneficios hay que pagar una ""Membresía"" cuando en otros bancos es totalmente gratis...",Negative
,06/04/2023,21:27:25,2023-04-06T21:27:25.000Z,1,"I'm so grateful to witness the miraculous signs your effective spell works has done in bringing back my ex lover which left my heart in deep pains for the past 2years. After trying all i could to have him back again. Surprisingly i was able to contact Dr kuta  Spell Temple who actually made it easier to have my ex lover back to me & also make our relationship more secured. My heart is filled with so much happiness right now for the good signs your spell work has done towards my life! You can as well seek his help for any kind of spell casting via

FACEBOOK LINK

https://www.facebook.com/profile.php?id=100090754775761&mibextid=ZbWKwL",Positivo
,16/11/2023,02:52:03,2023-11-16T02:52:03.000Z,7,"Court case issues contact Dr Osemen very quickly he has the spell to break free of you from the police, court and jail cases
��
https://www.facebook.com/dr-osemen-100089320688089/",Negative
,27/10/2023,23:47:00,2023-10-27T23:47:00.000Z,9,Quien en su sano juicio va a pagar por una membresía mensual para darte beneficios que ya tenías y que ahora te los quitan todos. Ahí se van a quedar mis rendimientos mejor no me ofrezcas nada. No le veo lo positivo por ningún lado,Positive
,25/10/2023,19:58:14,2023-10-25T19:58:14.000Z,11,No escuchan a sus clientes.,Negative
,24/02/2024,19:06:19,2024-02-24T19:06:19.000Z,6,"BASURAAA NO SAQUES TARJETA AQUI, SE ROBAN TU DINERO Y NO RESPONDEN!
Por eso hasta limitan los comentarios en sus publicaciones, para silenciar a la gente y no queden como ratas asquerosas que son!",Negative
,24/01/2023,01:00:30,2023-01-24T01:00:30.000Z,2,Sin ninguna duda una de las mejores tarjetas en débito y crédito❤️,Negative
,11/04/2023,15:00:16,2023-04-11T15:00:16.000Z,3,"Nunca me llegó mi tarjeta física, en tres meses  nunca me depositaron mis recompensas y además me cobraron intereses hasta ahora por 3 meses a pesar de haber pagado mi deuda para no generar intereses. Reporte todo esto va para 3 meses sin que me puedan solucionar.",Negative
,03/04/2023,17:22:31,2023-04-03T17:22:31.000Z,1,Me robaron la tarjeta y llevo tres días intentando cancelar y no me ayudan. Pésimo servicio,Negative
,14/04/2023,14:30:35,2023-04-14T14:30:35.000Z,4,"Se encargaron de arruinar su servicio, tiene muy buenas cosas pero ya van 2 veces que su red de cajeros qué es pésima, algunos del call center neta Te tratan horrible y como si les valiera qué no puedas usar tu dinero",Positive
0,04/03/2023,23:42:50,2023-03-04T23:42:50.000Z,3,"Solo para mexicanos, ni siquiera extranjeros residentes permanentes en Mexico, incluso con cuentas de otros bancos establecidos en Mexico, pueden utilizar este servicio de forma óptima ya que no te permite validar ninguna información personal….me parece absolutamente discriminatorio… una decepción",Negative
,08/11/2023,21:35:20,2023-11-08T21:35:20.000Z,7,Fue un buen banco pero se convirtió en lo que juró destruir. Poco a poco fueron quitando los beneficios y ahora ¡te los cobran! Absurdo.,Negative
,28/12/2022,14:28:36,2022-12-28T14:28:36.000Z,4,"Pésima atención y pésimo seguimiento !!
No utilicen las ligas de cobro !!
Tienen pago mío retenido desde el 18/12/22 y los asesores cero armables me cuelgan y no tiene atención especializada !!
No había tenido ningún problema y estaba muy contenta con las tarjetas y el servicio brindado hasta q use LAS LIGAS DE COBRO PESIMOOOOOO SERVICIO !!!
Súper estresante y t quitan muchísimo tiempo !!",Negative
,16/08/2023,16:04:25,2023-08-16T16:04:25.000Z,6,"Si no se refleja un pago no se hacen responsables. La Condusef no te puede ayudar en estos casos. No es un banco serio. Hasta inventan cosas con tal de no perderle y mientras tu sin tu dinero por meses, y tiene muchos fans que defienden este pseudo banco, no te dejes guiar por eso ya que se especializan en estrategias de mercadotecnia más que en mejorar el servicio al cliente.",Negative
,30/10/2023,04:56:09,2023-10-30T04:56:09.000Z,6,porquería de banco les quedó grande el intentar crecer no lograron su cometido tanto que para ello necesitan vender membresías,Negativo
0,16/01/2023,01:28:12,2023-01-16T01:28:12.000Z,3,Pésima atención al cliente y te bloquean la tarjeta y jamás dan respuesta,Negative
,03/11/2023,03:45:29,2023-11-03T03:45:29.000Z,6,"No recomendable, ya no conviene.",Negative
1,21/12/2022,18:04:47,2022-12-21T18:04:47.000Z,6,"Problemas en ligas de cobro, no te dan tu dinero y para pedir devoluciones es un tormento. Pésimo servicio al cliente. No la recomiendo en lo absoluto.",Negative
2,18/06/2023,17:38:30,2023-06-18T17:38:30.000Z,6,"Si desde un principio tienes fallas con la App, cancela la cuenta, nunca resuelven sus problemas técnicos.
Su atención a clientes es pésima.",Negativo
,19/03/2023,21:12:40,2023-03-19T21:12:40.000Z,2,buen servicio de crédito,Negative
,07/11/2023,15:39:38,2023-11-07T15:39:38.000Z,4,"horrible servicio, mandas una mendiga transferencia de 100 pesos y te la mandan a verificacion por dos horas",Negative
,26/05/2023,15:13:50,2023-05-26T15:13:50.000Z,3,"Fallas constantes en la aplicación, te bloquean la tarjeta, te hacen cargo sin reflejarse en movimientos. El servicio es deficiente.",Negative
,10/03/2023,06:09:39,2023-03-10T06:09:39.000Z,1,"No me gustan las limitaciones que el banco tiene. No me dejaron subir documentos y pensaron que estaba haciendo robo de identidad, lo peor de todo es que no tengo opción para cerrar mi cuenta, y me retienen una inversión de 3,000 que se supone vence hoy pero nooooo, resulta que no.",Positive
,17/02/2023,09:00:37,2023-02-17T09:00:37.000Z,3,"Wow this unbelievable! I never thought I can make real money from Forex trading. I thought everyone on the platform were just scammers who have no human feelings . I got scammed a few times. Please be careful while investing I know there are real managers and I have met one. Mrs lilian wilson is a real and legit manager who will do anything just to make you get your profits after your trade duration . She has done that for me, now I don't have to worry about cashing out my profits . She will put a smile on my face once again, you can contact her via Email: lilianwilson220@gmail.com
WhatsApp: +1 (714) 698-9275",Negative
,16/10/2023,03:00:36,2023-10-16T03:00:36.000Z,0,"Nunca pude pagar con su tarjeta, llame a atencion a clientes para desbloquearla pero aun asi no se pudo",Negativo
,26/10/2023,12:04:39,2023-10-26T12:04:39.000Z,7,Para nada recomendable no tiene nada que sirva al usuario solo para gastar,Negative
,18/01/2023,04:00:46,2023-01-18T04:00:46.000Z,0,No me llega la tarjeta física y no me dan soporte para nada pésimo servicio,Positive
,25/04/2024,22:29:28,2024-04-25T22:29:28.000Z,0,"La app y la tarjeta te sacan de apuros, pero en cuanto a atención es una basura, un martirio contacta a un humano que pueda ayudarte, así como carajos solucionó mis problemas si sus máquinas son limitadas. Basura.",Negative
,13/05/2023,00:42:19,2023-05-13T00:42:19.000Z,4,"La aplicación no funciona para nada, tiene mil fallas, con decir que hasta cuando quieres reportar la falla ocurre un error y no procede el reporte. Súper pésimo. Ya no me dio confianza para continuar con los servicios",Negativo
,03/12/2022,17:59:20,2022-12-03T17:59:20.000Z,3,"Making good profit just at the beginning of the year, despite the devastating quarantine and poor economy. .but only with the help of this incredible expert trader that uses the best✔️ machinery to yield high profit and fast rising income just after 3 days of  successful mining and trading .also make easy withdrawal from your trade account to your coin base wallet also giving out 20% commission from every profit..2,000 to 12,800 in 7 Day successfu✔️l trade.i really appreciate his great skills, dedication and diligency. i can now start my trading in forex  trade and earn good profit while sitting at home ..contact this great expert ma Amanda Richard  and change your life just like I did, and I also recommend✔️ this platform for the good work Via WhatsApp: +1 (724) 298 5509 
E-mail: richardamanda132@gmail.com",negativo
,25/11/2022,17:42:13,2022-11-25T17:42:13.000Z,5,"Pésimo servicio , en su call center dan una atención de lo peor nisiquiera saben dar información correcta y lo digo con todo documentado y solo piden tiempo y ya tiene así 1 mes que no me llega mi plástico ya con guía generada … encima de eso dicen q no hay tarjetas y luego me dicen q si elijo otro tipo de tarjeta me llega más rápido … después me dicen q no se puede y así llevo como 10 llamadas con diferentes asesores y solo me piden tiempo y que no pueden darme mas info y qué hay más clientes en espera … terminaron colgándome la llamada . Ojo aquí Hey Banco y ya se les mando correos , ya se hablo ya se mandaron dm y sin solución",Negative
,30/10/2023,01:41:59,2023-10-30T01:41:59.000Z,5,"después de usarlo por años y ver cómo iba en decadencia alcanzo su punto más bajo. Lástima, no era bueno pero no era el peor",Negative
,27/10/2023,15:15:28,2023-10-27T15:15:28.000Z,10,"Malisimo banco, iban muy bien y ahora con sus nuevas estrategias van a perder muchos clientes",Positive
,02/11/2023,20:10:51,2023-11-02T20:10:51.000Z,11,"Censuran a sus clientes en redes sociales, cobran los ""beneficios"" que te dan y bloquean tarjetas arbitrariamente aunque la hayas pagado a tiempo. Les pasé varias cosas pero lo de las membresías fue el punto de no retorno.",Negative
0,26/10/2023,18:39:44,2023-10-26T18:39:44.000Z,14,¿membresía? lo arruinaron todo y aparte cobardes al no permitir comentarios en las redes sociales. fue bueno mientras duró.  pero en el mercado hay mejores opciones. hey banco a muerto.,Negative
,14/11/2023,18:18:37,2023-11-14T18:18:37.000Z,9,"Las membresías hundieron a hey banco, no logro entender como aceptaron esta estrategia. y lo peor es que son la burla de sus competidores :( una lastima",Negativo
,22/11/2023,20:17:52,2023-11-22T20:17:52.000Z,3,"Vaya forma de ahuyentar a sus clientes con sus membresias, eran mi banco favorito además de ser el banco que sus mismos usuarios colocaron como el mejor de entre todos los demás y así nos pagan? Adiós hey banco y hola NU y Finsus:)",negativo
,27/12/2022,14:27:55,2022-12-27T14:27:55.000Z,3,"Recomiendo hey banco pero pésimo servicio con los ejecutivos telefonicos, hoy me atendió un tal Joaquín y no da la explicación solicitada, quiere que yo le explique mi duda, en general dan mala información o de mala gana, deberían filtrar mejor la gente que atiende vía telefónica.",Negative
,27/10/2023,01:35:23,2023-10-27T01:35:23.000Z,7,acaba de referir gente y ahora todo es membresías y ni siquiera ha arreglado el problema con reposición de tarjetas,Negative
,06/11/2023,05:39:17,2023-11-06T05:39:17.000Z,5,"perdió todo lo que lo hacía atractivo, ahora se convirtió en un banco difícil de manejar y sin ningún beneficio.
 
me encantó fue un gusto pero ahora creo que me iré con Santander o BBVA",Negative
0,18/12/2022,15:13:12,2022-12-18T15:13:12.000Z,5,el servicio a cliente es pésimo se tardan una semana en contestar.  no tienen atención por whatsapp solo por correo. si quieres crédito debes poner 1500 que sera tu límite de credito. mejor nu bank,Negative
,27/10/2023,05:33:02,2023-10-27T05:33:02.000Z,9,decepcionado de las modificaciones que hicieron a la tarjeta.,Negative
,30/10/2023,20:48:03,2023-10-30T20:48:03.000Z,7,"Basura de app y de banco. Banco  total… censuran y borran comentarios que les dicen la verdad, agregan una membresias inutiles que no los hacen nada competitivos en em mercado y su app siempre fue una  a cada rato en mantenimiento y con muchísimos bugs.",Negative
,29/10/2023,16:25:40,2023-10-29T16:25:40.000Z,5,"Quieren cobrar por todo con sus dichosas ""membresías"" pero no son capaces de mejorar su atencion a clientes tengo una semana con un problema y no quieren contestar por ningun medio, NO RECOMIENDO HEY BANCO",Negative
,21/12/2022,23:26:12,2022-12-21T23:26:12.000Z,1,"Thanks to Mr George Robert company for helping me and family from debt. I made 2.313364 Bitcoin which is equivalent to $63,370 with just $1,500 from an expert trader and a good and trusted platform, after trying so many trade investment which I had no profit payout or access to my trading account, a big thanks to Mr George Robert for being an expert and helping me and for keeping to his words. Mr George Robert indeed you are the best Management for the past 3 weeks investing in your platform my family are doing very well, paid all my debt and my business is going well I'm so excited writing this review to show how I'm greatfull to Mr George Robert platform and his good management. If you want a good management in your investment and sure weekly withdrawal with no extra charges made for withdrawal feel free to write him on his 
Whatsapp helpline: +1(505)596-1896
Email: georgerobertforextrader@gmail.com
For perfect trading trust me",negative
,08/11/2023,15:10:08,2023-11-08T15:10:08.000Z,9,"Sólo queremos un banco que funcione y de buenos beneficios, no un burdel de membresías, rifas y publicidad del Pal Norte",Negative
,03/01/2024,03:21:34,2024-01-03T03:21:34.000Z,1,"permitieron que una segunda aplicación sacará dinero de mi cuenta para ser exactos kueski pay
y no contestan RATEROS",Negative
,21/01/2023,01:09:53,2023-01-21T01:09:53.000Z,0,recomendable accesible y practica,Negative
,08/12/2022,16:07:28,2022-12-08T16:07:28.000Z,5,"jajajajaja
puras mentiras no sirve su sistema mi depósito en garantía se hizo y resulta que no está la transferencia
tengo dos meses con este problema y nadie resuelve nada 
NADA RECOMENDABLE",Negative
,14/11/2023,19:54:48,2023-11-14T19:54:48.000Z,0,No están soportando y ya van más de dos semanas que no permiten comentarios. No me imagino la tensión que han de tener por la fuga masiva de capital de esta mamada de banco. Suerte con sus membresías pedorras,Positive
,10/09/2022,15:46:06,2022-09-10T15:46:06.000Z,7,"Pesimo servicio. Te bloquean las cuentas y retienen tu dinero.
es una mala experiencia.
no contraten",Negative
0,27/10/2023,06:36:16,2023-10-27T06:36:16.000Z,8,"no reporta a Buró de crédito, la atención a clientes es pésimo",Negative
,03/01/2023,13:00:31,2023-01-03T13:00:31.000Z,0,son muy accesibles y confiable,Positive
,14/12/2023,03:54:26,2023-12-14T03:54:26.000Z,2,"su financiamiento automotriz es pesimo, prometen fechas de entrega de contrato y las incumplen sin mas",Negative
0,29/10/2022,00:33:07,2022-10-29T00:33:07.000Z,7,Era mi banco preferido. pero su nula atención a clientes tanto en crédito hipotecario como para reportar una falla dejan mucho que desear. Ya no es lo que era antes,Negative
,03/03/2023,21:37:42,2023-03-03T21:37:42.000Z,2,Por que me cobraron comisión por sacar mi propio dinero del ahorro hey me cobraron 150 pesos y no se me hace justo,Negative
1,27/10/2023,06:17:17,2023-10-27T06:17:17.000Z,13,"¿Dónde está nuestro cashback de octubre? Antes de sus cambios horribles de estrategia hicimos compras las cuales generaron cashback que no fue acreditado a nuestras cuentas, eso es un robo",Negative
