comments/0/likesCount,Fecha ,Hora,FullDate,likesCount,tweet,sentiment
,2/8/2024,23:57:12,2024-02-08T23:57:12.000Z,1,"I want to express my gratitude to Mrs. Charlotte for helping me out of a difficult situation. After falling victim to an online investment scam and losing more than $500 her words of encouragement provided the hope and encouragement that guided me through my recovery process. I only invested $400 into my trading account and received a remarkable profit of $6,300 within three trading days. Thanks to her, I have not only recovered my lost funds but also earned more than expected. If you're interested in crypto/Forex trading, contact Charlotte for assistance via the details below.

Facebook:https://www.facebook.com/haydencharlotte014

Email:haydencharlotte541@gmail.com
WhatsApp: +1 (484) 410-1835",positive
,2/4/2024,22:14:34,2024-02-04T22:14:34.000Z,2,"En lo personal no me afecta en nada las membresias, ya que se mantiene lo de las 6 compras de $100 para tener los beneficios de las tasas de inversion y ser HeyPro, ya tengo algunos años con la cuenta y no he tenido algun problema ademas es mi cuenta principal, he tenido cuentas en otros bancos con sus respectivas aclaraciones y muchas fallas.",positive
,2/1/2024,14:45:57,2024-02-01T14:45:57.000Z,1,Al principio era un excelente Neobanco. Ahora es un banco caro y del montón.,negative
,2/1/2024,23:04:55,2024-02-01T23:04:55.000Z,0,"Me robaron saldo, no contestan y aun no me dan mi saldo retenido",negative
0.0,1/19/2024,16:37:34,2024-01-19T16:37:34.000Z,4,"Te hacen cargos y te retienen el dinero y no te dan respuesta, es literalmente un robo en toda la extensión de la palabra, no tengan dinero en esa cuenta si no quieren ser robados por el mismo banco",negative
,1/8/2024,22:02:41,2024-01-08T22:02:41.000Z,5,ya les dijeron que sus membresías es una muy mala idea y lo siguen haciendo. fueron superados por mucho por NU,negative
,1/8/2024,17:16:02,2024-01-08T17:16:02.000Z,2,Desde las membresías ya no son lo mismo que bueno que ya cancele mi cuenta,negative
,1/4/2024,19:38:08,2024-01-04T19:38:08.000Z,3,El sistema de membresias es una idea pésima de verdad como puedes pasar de ser una de las mejores opciones del mercado a convertirse en lo que es hoy. Parece que ahora el banco  lo dirige Javi Noble,negative
,1/4/2024,18:21:11,2024-01-04T18:21:11.000Z,1,"Que pedo con el mensaje que aparece amenaza  pidiendo el pago de tarjeta si un no vence mi fecha de pago. Además, insisten con sus estúpidas membresías y como nadie está de acuerdo, quitan la opción de poner comentarios en sus publicaciones para que no les pongas sus cosas. De mal en peor este banco.",negative
,1/3/2024,3:21:34,2024-01-03T03:21:34.000Z,1,"permitieron que una segunda aplicación sacará dinero de mi cuenta para ser exactos kueski pay
y no contestan RATEROS",negative
,1/2/2024,21:22:54,2024-01-02T21:22:54.000Z,2,Puros problemas!!!! y nada de solución con Hey banco,negative
,12/23/2023,18:55:02,2023-12-23T18:55:02.000Z,0,"Todo el pinche tiempo bloqueada que por según intentos de inicio de sesión y para recuperar no hay opciones, y su pinche teléfono igual nunca contestan Horrible ya solo saco mi dinero y adiós, y es cuenta Negocios pinche banco de mierda?",negative
,12/22/2023,22:57:49,2023-12-22T22:57:49.000Z,4,Horrible… no recomiendo para nada,negative
,12/18/2023,3:37:00,2023-12-18T03:37:00.000Z,3,"No saben solucionar problemas, intenté hacer un pago y 3 veces me fue rechazada la tarjeta, me quitaron el dinero de la cuenta y no saben cómo solucionarlo (cuando otros bancos al ver el cargo te levantan la aclaración inmediatamente) solo te dicen que en 72 Horas y nada más no se soluciona, que se debe esperar a que el comercio por ese el pago y esto puede llevar de 24 a 72 horas hábiles, ya pasaron más de 179 horas y aún no solucionan, solo te dan excusas como que “el 12 de diciembre es festivo y que eso atrasa la situación” o “tuvimos una intermitencia ese día” “esta situación es muy rara y se soluciona de 1 a 15 días naturales o puede llevarse hasta 40 días en que el comercio procese el pago”, yo ya hablé con el gerente del comercio y me menciona que no hay forma que no se procede el pago porque no se realizó, fue más problema del banco… en call center solo te dicen je esperes y esperes y que si se hace la aclaración debo esperar hasta 40 días cuando el problema son ellos con sus intermitencias… ya con esta situación solo esperaré a que me soluciones y cancelaré la tarjeta… deberían tener gente especializada para estos casos y/o atender inmediatamente estas situaciones y no esperar a que “el comercio procese el pago” cuando ya dijeron que no hay forma de procesarlo porque no se realizó.",negative
,12/18/2023,6:23:44,2023-12-18T06:23:44.000Z,3,Les reconozco que fueron el primer Neo banco que hizo las cosas bien. hoy ya no son ni la sombra de eso. Las membresías terminaron por hundirlo.,negative
,12/14/2023,3:54:26,2023-12-14T03:54:26.000Z,2,"su financiamiento automotriz es pesimo, prometen fechas de entrega de contrato y las incumplen sin mas",negative
,12/4/2023,5:16:34,2023-12-04T05:16:34.000Z,5,Echaron a perder todo lo que nos interesaba a los clientes. De 2 años para acá se dedicaron a arruinarse y hundirse,negative
,12/1/2023,17:29:45,2023-12-01T17:29:45.000Z,0,"mal servicio a clientes, ideas tontas como sus membresías y tratan a sus clientes como tontos",negative
,11/29/2023,2:46:34,2023-11-29T02:46:34.000Z,3,"no que por ""ser un banco digital"" tienen la oportunidad de ser un mejor producto pero",neutral
,11/25/2023,6:15:58,2023-11-25T06:15:58.000Z,1,Buen banco hasta que perdió el rumbo oc sus membresías,negative
,11/23/2023,0:28:12,2023-11-23T00:28:12.000Z,13,"No sé a quien se le ocurrió la estupidez de quitar todas las recompensas y dedicarse a querer ser una tienda departamental más en lugar de enfocarse a ser un buen banco,sería para cambiarlo de puesto o despedirlo.
Muy mala decisión de negocios.",negative
,11/22/2023,21:33:10,2023-11-22T21:33:10.000Z,4,"Fueron por mucho tiempo los mejores, pero no se que demonios paso. Ahora que quiero sacar mi dinero de sus cuentas no se puede porque tiene que ser por partes pequeñas nula informacion que no fue brindada nunca y anteriormente se podia...",negative
,11/22/2023,20:17:52,2023-11-22T20:17:52.000Z,3,"Vaya forma de ahuyentar a sus clientes con sus membresias, eran mi banco favorito además de ser el banco que sus mismos usuarios colocaron como el mejor de entre todos los demás y así nos pagan? Adiós hey banco y hola NU y Finsus:)",negative
,11/21/2023,5:52:13,2023-11-21T05:52:13.000Z,7,"Amaba hey Banco, cancele todas mis cuentas para que ellos fueran mi banco principal, y salen con sus membresías. Muy decepcionante esperemos que cambien el rumbo antes de que sea inevitable.",negative
,11/17/2023,20:15:42,2023-11-17T20:15:42.000Z,0,Su sistema de membresías es la idea más estúpida que he escuchado. Antes eran chéveres pero cada vez van más y más en declive,negative
,11/17/2023,3:46:41,2023-11-17T03:46:41.000Z,6,2 años utilizando la app y 2 años intentando verificar mi cuenta sin darme una solución en fin ahora una membresía que no tiene ni pies ni cabeza... klar será una mejor opción ahora,negative
,11/16/2023,13:17:00,2023-11-16T13:17:00.000Z,7,"Ahora tienen la mayoría de los beneficios de antes detrás de una ""membresía""(anualidad a meses), mejor considera nu u otra alternativa",negative
,11/14/2023,18:18:37,2023-11-14T18:18:37.000Z,9,"Las membresías hundieron a hey banco, no logro entender como aceptaron esta estrategia. y lo peor es que son la burla de sus competidores :( una lastima",negative
,11/14/2023,19:54:48,2023-11-14T19:54:48.000Z,0,No están soportando y ya van más de dos semanas que no permiten comentarios. No me imagino la tensión que han de tener por la fuga masiva de capital de esta mamada de banco. Suerte con sus membresías pedorras,negative
,11/14/2023,21:11:53,2023-11-14T21:11:53.000Z,10,escupieron a los clientes en su cara,negative
,11/13/2023,9:46:29,2023-11-13T09:46:29.000Z,20,"¿Qué tan malo debe ser un banco para limitar los comentarios? En fin, adiós Hey ✌️",negative
,11/12/2023,21:50:49,2023-11-12T21:50:49.000Z,6,"Pésimo el haber creado las membresías, dejaron de ser ese banco distinto al resto, ya estoy buscando otras opciones que de verdad sean buenas.",negative
,11/11/2023,17:01:14,2023-11-11T17:01:14.000Z,8,NO recomiendo este banco debido a sus membresías.,negative
,11/11/2023,18:39:13,2023-11-11T18:39:13.000Z,7,Mañana les cancelo las cuentas que tengo con ustedes.,negative
,11/10/2023,0:00:39,2023-11-10T00:00:39.000Z,15,Lo recomendaba y hasta lo defendía pero ya no… gran decepción!,negative
,11/10/2023,1:28:11,2023-11-10T01:28:11.000Z,9,"Con su sistema de membresias ahora perdio todo atractivo, cancelo la tarjeta y no regreso",negative
,11/10/2023,5:37:40,2023-11-10T05:37:40.000Z,6,"Pensé que era broma el pago de membresía, que decepción en fin. Nos vemos de regreso con una tasa competitiva",negative
,11/9/2023,15:40:47,2023-11-09T15:40:47.000Z,7,"Era un buen banco, con atractivas características pero todo acabó. A retirar el capital a otra parte.",negative
,11/8/2023,19:09:06,2023-11-08T19:09:06.000Z,8,"NO, NO LO RECOMIENDO . Quitaron sus beneficios, ahora sacaron ""membresias"" y cobran lo que era gratis, mala atención al cliente, y ademas borran y no dejan comentar las publicaciones, eso habla de como es este banco, no confien en el.",negative
,11/8/2023,1:43:19,2023-11-08T01:43:19.000Z,8,"Desde que implementaron las nefastas membresías, dejó de ser atractivo para tener fondos de inversiones o cualquier tipo de cuenta, hoy en día hay muchas opciones que ofrecen más sin pagos mensuales",negative
,11/8/2023,21:35:20,2023-11-08T21:35:20.000Z,7,Fue un buen banco pero se convirtió en lo que juró destruir. Poco a poco fueron quitando los beneficios y ahora ¡te los cobran! Absurdo.,negative
,11/8/2023,15:10:08,2023-11-08T15:10:08.000Z,9,"Sólo queremos un banco que funcione y de buenos beneficios, no un burdel de membresías, rifas y publicidad del Pal Norte",negative
,11/8/2023,0:57:46,2023-11-08T00:57:46.000Z,6,Quitar las perras membresias,negative
,11/8/2023,18:58:53,2023-11-08T18:58:53.000Z,10,"Ya no dejan poner comentarios, este banco esta muerto",negative
,11/8/2023,21:25:44,2023-11-08T21:25:44.000Z,6,"buuuuuuu, qué malas promociones la verdad. Banco para whitexicans",negative
,11/7/2023,3:02:13,2023-11-07T03:02:13.000Z,4,Pésima experiencia con su atención a clientes y con las nuevas políticas que implementaron dejó de ser atractivo para los usuarios.,negative
,11/7/2023,20:52:14,2023-11-07T20:52:14.000Z,3,"Su tarjeta de crédito Hey Negocios tiene un error de sistema en donde se hacen cobros por error, el problema es que no lo han podido resolver y en el Call center siempre dan información diferente",negative
,11/7/2023,15:39:38,2023-11-07T15:39:38.000Z,4,"horrible servicio, mandas una mendiga transferencia de 100 pesos y te la mandan a verificacion por dos horas",negative
,11/6/2023,5:39:17,2023-11-06T05:39:17.000Z,5,"perdió todo lo que lo hacía atractivo, ahora se convirtió en un banco difícil de manejar y sin ningún beneficio.
 
me encantó fue un gusto pero ahora creo que me iré con Santander o BBVA",negative
,11/6/2023,17:07:39,2023-11-06T17:07:39.000Z,6,"Quitaron todos los beneficios que los hacían atractivos, e implementaron un sistema de cuotas para poder acceder a ellos",negative
,11/5/2023,1:51:00,2023-11-05T01:51:00.000Z,4,"Muy mal servicio al cliente, y ahora con las membresías adiós para siempre",negative
,11/5/2023,3:09:04,2023-11-05T03:09:04.000Z,2,Dejo de ser una buena opción. Perdió todo lo que la carateriza.,negative
,11/5/2023,14:37:15,2023-11-05T14:37:15.000Z,4,ya no vale la pena cero beneficios,negative
,11/4/2023,1:18:21,2023-11-04T01:18:21.000Z,3,Quien fue el genio que se la ocurrio lo de las membresias? PESIMO BANCO,negative
,11/3/2023,3:45:29,2023-11-03T03:45:29.000Z,6,"No recomendable, ya no conviene.",negative
,11/3/2023,2:48:07,2023-11-03T02:48:07.000Z,3,"No estoy de acuerdo con sus nuevas políticas de hacernos pagar algo que antes era gratuito. La tdc ya tiene anualidad con las membresías, quitaron el boleto dorado, el cashback en hey pro… ya no vale la pena",negative
,11/3/2023,19:41:42,2023-11-03T19:41:42.000Z,9,"Antes eran una buena opción, es una pena qué la(s) persona(s) que toman decisiones en éste banco lo estén llevando a  ser de los peores bancos por debajo hasta de los bancos tradicionales. No responden el correo de atención a clientes, hicieron pésimos cambios con su membresía (anualidad) para venderte lo qué antes te daban gratis y lo peor es que en sus redes sociales censuran la opinión de sus clientes. para los nuevos clientes les recomiendo otras opciones qué dan mejores beneficios y sin costo extra.",negative
,11/3/2023,21:18:06,2023-11-03T21:18:06.000Z,9,nomás me uno pa la funa xD,neutral
,11/3/2023,3:13:49,2023-11-03T03:13:49.000Z,13,spamean en su app cada que realizas algun movimientos para que los recomiendes. Asco de banco,negative
,11/2/2023,22:38:30,2023-11-02T22:38:30.000Z,10,"Que lamentable que una empresa tome ese tipo de acciones de censura a sus clientes, ya no recomiendo la aplicación y su servicio de membresía de lo peor",negative
,11/2/2023,14:55:18,2023-11-02T14:55:18.000Z,2,"Desde que pusieron las membresías se han venido bien abajo, de por sí ya lo estaban y se fueron a peor, malísima decisión",negative
,11/2/2023,21:03:51,2023-11-02T21:03:51.000Z,7,Qué bueno que saqué todo mi dinero de esta basura de banco  no tengo tanta queja con las membresías pero sí el detonante fue la censura en redes sociales y borrar los malos comentarios,negative
,11/2/2023,20:10:51,2023-11-02T20:10:51.000Z,11,"Censuran a sus clientes en redes sociales, cobran los ""beneficios"" que te dan y bloquean tarjetas arbitrariamente aunque la hayas pagado a tiempo. Les pasé varias cosas pero lo de las membresías fue el punto de no retorno.",negative
,11/2/2023,11:35:20,2023-11-02T11:35:20.000Z,6,"Veo que siguen para delante con su anualidad disfrazada de ""membresía"" sin importar lo que opinen sus clientes al respecto y evitando la libertad de expresión en sus redes sociales muy mal",negative
,11/2/2023,15:56:04,2023-11-02T15:56:04.000Z,2,Me cancelaron mi tarjeta de crédito,negative
,11/1/2023,22:09:15,2023-11-01T22:09:15.000Z,8,"La app nunca funciona. El servicio al cliente por teléfono es inútil, por correo es peor y por la app es una burla. Me arrepiento enormemente haber confiado en HeyBanco. Ojalá hubiera visto comentarios como este antes de haber sacado la cuenta.",negative
,11/1/2023,23:09:29,2023-11-01T23:09:29.000Z,9,"¿Membresías? ¿En serio? ¿No se suponía que era un banco ""diferente"" a los tradicionales? A ello agréguenle que su servicio al cliente es pésimo y nefasto. Yo creí que por tener una cantidad considerable me iban a tratar mejor, pero nunca fue así. 

Además se nota la poca importancia que le dan a la retroalimentación de sus clientes, bloqueando e ignorando los comentarios. 

Afortunadamente existen múltiples alternativas para gestionar tu dinero.",negative
,11/1/2023,21:41:28,2023-11-01T21:41:28.000Z,7,"Fue el mejor banco de México, pero contrataron a alguien con ideas ""innovadoras"" como membresías, cobrar ISR en las recompensas, tienda de merchandising, etc y se terminó autodestruyendo",negative
,11/1/2023,23:08:44,2023-11-01T23:08:44.000Z,7,"Su anualidad disfrazada de ""membresía"" es un despropósito y censurar la opinión de sus clientes es la PEOR forma de gestionar su crisis de marca. Bye, Banco",negative
,11/1/2023,6:08:22,2023-11-01T06:08:22.000Z,3,Ya no vale la pena los beneficios y sus membresías.,negative
,10/31/2023,22:50:49,2023-10-31T22:50:49.000Z,11,"HORRIBLE SERVICIO, lo único que hacen es eliminar comentarios con las quejas de sus clientes y su aplicación un asco y ni la vergüenza tienen de dar un comunicado o al menos atender",negative
,10/31/2023,15:00:59,2023-10-31T15:00:59.000Z,4,Empezaron genial pero ya no valen la pena,negative
,10/31/2023,3:39:10,2023-10-31T03:39:10.000Z,5,"Y la queso  
Pésimo servicio",negative
,10/31/2023,0:19:48,2023-10-31T00:19:48.000Z,3,Cobra anualidad disfrazada de membresías.,negative
,10/30/2023,21:05:35,2023-10-30T21:05:35.000Z,18,Primero lo de las membresías y luego bloquedo comentarios. Iba a mantener mi cuenta pero al ver que deshabilitaron comentarios de sus redes me dio mucha desconfianza y prefiero cerrar mi cuenta.,negative
0.0,10/30/2023,22:54:48,2023-10-30T22:54:48.000Z,5,"Basura de servicio, ni se metan a este banco, el servicio al cliente puros incompetentes peor que los del IMSS.",negative
,10/30/2023,0:04:38,2023-10-30T00:04:38.000Z,7,"Ahora para tener los beneficios hay que pagar una ""Membresía"" cuando en otros bancos es totalmente gratis...",negative
,10/30/2023,4:56:09,2023-10-30T04:56:09.000Z,6,porquería de banco les quedó grande el intentar crecer no lograron su cometido tanto que para ello necesitan vender membresías,negative
,10/30/2023,1:41:59,2023-10-30T01:41:59.000Z,5,"después de usarlo por años y ver cómo iba en decadencia alcanzo su punto más bajo. Lástima, no era bueno pero no era el peor",negative
,10/30/2023,20:48:03,2023-10-30T20:48:03.000Z,7,"Basura de app y de banco. Banco  total… censuran y borran comentarios que les dicen la verdad, agregan una membresias inutiles que no los hacen nada competitivos en em mercado y su app siempre fue una  a cada rato en mantenimiento y con muchísimos bugs.",negative
0.0,10/30/2023,19:22:58,2023-10-30T19:22:58.000Z,8,Censurando a las personas y borrando comentarios en sus redes sociales es todavía peor que vender membresías,negative
,10/29/2023,16:25:40,2023-10-29T16:25:40.000Z,5,"Quieren cobrar por todo con sus dichosas ""membresías"" pero no son capaces de mejorar su atencion a clientes tengo una semana con un problema y no quieren contestar por ningun medio, NO RECOMIENDO HEY BANCO",negative
0.0,10/29/2023,20:07:46,2023-10-29T20:07:46.000Z,4,"Su foco esta ahora en inversionistas qué compran acciones, no se aferren a un banco qué ya no quieren que sean sus clientes, ya se los demostró censurando opiniones y despreciandolas, usen otros como DINN o Uala qué estan en la Ipab y su dinero está seguro.",negative
,10/29/2023,7:32:15,2023-10-29T07:32:15.000Z,6,Decepción con sus membresías.,negative
,10/28/2023,19:35:14,2023-10-28T19:35:14.000Z,1,Una verdadera burla lo que le hacen a sus clientes. De ser una opción atractiva por ser una fintech mexicana se convirtió en una opción basura al meter la tonta idea de las membresías. A cancelar.,negative
,10/28/2023,0:00:10,2023-10-28T00:00:10.000Z,6,"todo lo que lo hacia ver como una buena opción, lo tiraron a la basura, voy a cerrar mi cuenta y no los vuelvo a recomendar.",negative
,10/28/2023,19:17:55,2023-10-28T19:17:55.000Z,6,"Pagar una membresia para una tasa de redimiendo que CETES dan gratis ? No gracias
No estoy contratando un streaming service…",negative
,10/28/2023,0:57:14,2023-10-28T00:57:14.000Z,7,deshabilitan comentarios de sus usuarios,negative
,10/28/2023,5:45:28,2023-10-28T05:45:28.000Z,0,Siempre los recomendaba a mis familiares.   Que làstima.,negative
,10/28/2023,17:48:07,2023-10-28T17:48:07.000Z,3,"Banco que ha muerto, no cash back no rendimientos y próximamente no bancario",negative
,10/28/2023,12:06:20,2023-10-28T12:06:20.000Z,2,Anualidad disfrazada de membresias y reducción de beneficios.,negative
,10/28/2023,14:09:41,2023-10-28T14:09:41.000Z,1,mal bancoooooooooooooo!!!,negative
,10/27/2023,3:01:08,2023-10-27T03:01:08.000Z,9,"Habías muchas más maneras de seguir dando beneficios pero decidieron cobrar por dar beneficios que antes eran gratis y además ya no conviene porque no recuperas el precio de la membresía, hay muchas más opciones que si convienen",negative
,10/27/2023,19:02:23,2023-10-27T19:02:23.000Z,10,"Todo falla, sin beneficios competitivos, no confiable",negative
0.0,10/27/2023,1:28:49,2023-10-27T01:28:49.000Z,11,"Era buena Fintech hasta que pusieron sus ""membresías"". Ya no lo recomiendo",negative
1.0,10/27/2023,14:23:04,2023-10-27T14:23:04.000Z,10,"Se volvieron malos. La atención al cliente es nula, no pésima, nula. Malas decisiones. Ahora cobran anualidades caras por dar los beneficios que ya contaban. Toca pagar y cerrar.",negative
,10/27/2023,23:47:00,2023-10-27T23:47:00.000Z,9,Quien en su sano juicio va a pagar por una membresía mensual para darte beneficios que ya tenías y que ahora te los quitan todos. Ahí se van a quedar mis rendimientos mejor no me ofrezcas nada. No le veo lo positivo por ningún lado,negative
,10/27/2023,15:15:28,2023-10-27T15:15:28.000Z,10,"Malisimo banco, iban muy bien y ahora con sus nuevas estrategias van a perder muchos clientes",negative
,10/27/2023,1:35:23,2023-10-27T01:35:23.000Z,7,acaba de referir gente y ahora todo es membresías y ni siquiera ha arreglado el problema con reposición de tarjetas,negative
,10/27/2023,5:33:02,2023-10-27T05:33:02.000Z,9,decepcionado de las modificaciones que hicieron a la tarjeta.,negative
0.0,10/27/2023,6:36:16,2023-10-27T06:36:16.000Z,8,"no reporta a Buró de crédito, la atención a clientes es pésimo",negative
1.0,10/27/2023,6:17:17,2023-10-27T06:17:17.000Z,13,"¿Dónde está nuestro cashback de octubre? Antes de sus cambios horribles de estrategia hicimos compras las cuales generaron cashback que no fue acreditado a nuestras cuentas, eso es un robo",negative
,10/27/2023,21:37:48,2023-10-27T21:37:48.000Z,10,"Adiós Hey, fue bueno mientras duró. Ahora con sus ""membresías"", ya no sale ni siendo Hey Pro. Hay tantos que ofrecen los mismos o mejores rendimientos sin cobrar 1 peso. Fail.",negative
,10/27/2023,14:23:07,2023-10-27T14:23:07.000Z,8,mi calificación será mala hasta que vuelvan a mejorar,negative
0.0,10/27/2023,22:24:51,2023-10-27T22:24:51.000Z,16,"hey banco murió en Reach
Era atractivo para ser la primera tarjeta de crédito de quién recién empezaba, ahora ya no vale la pena
y cerrar comentarios en FB y en IG solo da mucho más de que hablar",negative
0.0,10/27/2023,15:03:32,2023-10-27T15:03:32.000Z,9,"Todas las cosas que la hacía buena, se fue con los cambios que hicieron.",negative
,10/27/2023,16:47:28,2023-10-27T16:47:28.000Z,11,"Anualidad disfrazada de membresía, hay mejores opciones",negative
0.0,10/27/2023,2:03:40,2023-10-27T02:03:40.000Z,12,"Que lastima, eran una buena opcion, ahora con los cambios que hicieron, mejor volteare a ver otros bancos... Bye tarjetita de credito Hey!!",negative
,10/27/2023,15:10:27,2023-10-27T15:10:27.000Z,9,"Los beneficios qué daban, aunque no los mejores en sus tasas, hacia qué valiera la pena conservar la cuenta, pero ahora te preguntas, porque elegir Hey banco y no cetes? Pues a mover el dinero a otro lado, ya qué",negative
1.0,10/27/2023,1:54:10,2023-10-27T01:54:10.000Z,11,"Es un banco qué ahora por recibir beneficios que antes eran ""gratuitos"" ahora tienes que pagar por ellos y con peores condiciones, es una anualidad disfrazada de membresía, además de tener una seguridad baja en sus cuentas de débito y crédito. Un neo banco qué en vez de mejorar va empeorando cada vez más.",negative
,10/27/2023,19:56:47,2023-10-27T19:56:47.000Z,12,"Era buen banco, ni paper. A buscar otras opciones. Uala, Klar y hasta la RappiCard tienen mejores beneficios",negative
0.0,10/27/2023,1:59:42,2023-10-27T01:59:42.000Z,14,"decepcionado por sus cambios ya no tiene nada de interesante, me retiro adiós tarjeta Hey, hola tarjeta Ualá..",negative
,10/27/2023,18:08:36,2023-10-27T18:08:36.000Z,9,Adios. Lastima... toda hiba muy bien.,negative
,10/27/2023,15:05:25,2023-10-27T15:05:25.000Z,11,Deberían despedir al becario que se le ocurrió lo de las membresías,negative
1.0,10/27/2023,1:26:14,2023-10-27T01:26:14.000Z,9,"quitaron los beneficios para los clientes que verdaderamente estábamos ahí utilizando la tarjeta, ya no hay cashback, la inversión bajo sino pagamos una anualidad disfrazada de membresía:( #medueleshey",negative
,10/27/2023,7:19:09,2023-10-27T07:19:09.000Z,12,CENSURANDO comentarios tanto en FB como en IG? Lo bueno es que “escuchan” al cliente… de igual forma les dejo su reseñita,negative
1.0,10/27/2023,3:59:00,2023-10-27T03:59:00.000Z,8,"Cancelaron muchos beneficios interesantes, dejaron los más meh y ahora te los quieren cobrar. Desde las heycoins se venía venir. Triste.",negative
0.0,10/27/2023,15:54:26,2023-10-27T15:54:26.000Z,15,"Agradecido con Hey Banco 
Sin sus cambios jamás hubiera conocido a Dinn de Actinver",positive
,10/27/2023,19:50:46,2023-10-27T19:50:46.000Z,8,xd se mama ron jajajsja.,neutral
1.0,10/27/2023,2:27:13,2023-10-27T02:27:13.000Z,12,Métanse sus membresías por donde les quepa,negative
,10/27/2023,4:23:10,2023-10-27T04:23:10.000Z,10,Cobran por invertir además de retirar muchos beneficios.,negative
0.0,10/26/2023,23:17:30,2023-10-26T23:17:30.000Z,16,"No arriesgues tu dinero, nula atención al cliente. Fallas recurrentes e incertidumbre en las operaciones.",negative
